time,datetime,zeta,phi_obs,phi_m,phi_h,phi_q,L_obukhov,ustar,hs,hl,ws_lo,ws_hi,T_lo,T_hi,q_lo,q_hi,z_lo,z_hi,lat,lon,Press,LWd,Lwu,SWd,Swu,sensible_heat_flux
308.0417,1998-11-04T01:00:02.88,0.9165455817457757,4.577777777777779,4.577777777777779,2.4319999999999933,NaN,-5.525279999999999,0.06,-3.0,0.2,2.17,3.2,-25.58,-25.2,NaN,NaN,2.5,10.0,75.9424,-144.01303,1019.1,177.0,212.3,0.0,0.0,-3.0
308.75,1998-11-04T18:00:00.0,0.24225923943400776,1.8181818181818195,1.8181818181818195,1.6895999999999889,NaN,-15.764363999999997,0.11,-5.0,-0.1,3.32,4.07,-19.74,-19.5,NaN,NaN,2.5,10.0,75.96123,-144.05704,1011.2,200.9,231.0,0.0,0.0,-5.0
308.7917,1998-11-04T19:00:02.88,0.10321738770485027,0.7225806451612902,0.7225806451612902,2.0176271186440844,NaN,-42.22495550847457,0.155,-5.9,-0.2,4.13,4.55,-22.3,-22.06,NaN,NaN,2.5,10.0,75.96253,-144.06682,1011.2,179.9,222.1,0.0,0.0,-5.9
308.8333,1998-11-04T19:59:57.12,0.33078556756311706,2.4380952380952365,2.4380952380952365,1.428405797101442,NaN,-14.78777391304348,0.14,-13.8,0.2,4.11,5.39,-24.79,-24.35,NaN,NaN,2.5,10.0,75.964,-144.07805,1011.4,161.4,212.2,1.0,0.8,-13.8
308.875,1998-11-04T21:00:00.0,0.060610880603548356,1.2190476190476192,1.2190476190476192,0.15627906976743852,NaN,-73.20497441860464,0.21,-8.6,-0.2,4.75,5.71,-22.66,-22.64,NaN,NaN,2.5,10.0,75.9653,-144.08975,1011.3,204.2,224.0,3.9,3.1,-8.6
308.9167,1998-11-04T22:00:02.88,0.043829092119594106,0.9444444444444452,0.9444444444444452,0.0,NaN,-98.95308387096773,0.24,-9.3,0.0,5.84,6.69,-22.19,-22.19,NaN,NaN,2.5,10.0,75.96675,-144.10287,1011.2,200.1,224.6,1.5,0.8,-9.3
309.125,1998-11-05T03:00:00.0,0.10644961036863566,1.2133333333333334,1.2133333333333334,0.6945736434108555,NaN,-47.534883720930246,0.2,-12.9,-0.2,5.07,5.98,-25.55,-25.41,NaN,NaN,2.5,10.0,NaN,NaN,1010.0,157.4,210.0,0.0,0.0,-12.9
309.1667,1998-11-05T04:00:02.88,0.1444310645125561,1.5555555555555554,1.5555555555555554,0.7710236220472357,NaN,-36.81048188976378,0.18,-12.7,-0.2,4.54,5.59,-26.72,-26.55,NaN,NaN,2.5,10.0,75.97065,-144.18026,1009.8,155.7,207.0,0.0,0.0,-12.7
309.2083,1998-11-05T04:59:57.12,0.3299736926453037,2.4410256410256412,2.4410256410256412,1.221284403669726,NaN,-16.61657614678899,0.13,-10.9,0.2,3.84,5.03,-27.48,-27.16,NaN,NaN,2.5,10.0,75.97063,-144.19246,1009.5,155.8,204.3,0.0,0.0,-10.9
309.25,1998-11-05T06:00:00.0,0.5790570754998101,3.0060606060606068,3.0060606060606068,1.577931034482757,NaN,-9.407645689655173,0.11,-11.6,0.0,3.33,4.57,-27.33,-26.81,NaN,NaN,2.5,10.0,75.97052,-144.20453,1009.0,154.1,203.8,0.0,0.0,-11.6
309.2917,1998-11-05T07:00:02.88,0.07803660985597345,1.3754385964912288,1.3754385964912288,1.576296296296276,NaN,-65.61776666666667,0.19,-8.1,0.2,4.13,5.11,-25.83,-25.62,NaN,NaN,2.5,10.0,75.97026,-144.21753,1008.6,183.4,211.8,0.0,0.0,-8.1
309.3333,1998-11-05T07:59:57.12,0.39119046787263606,2.342857142857143,2.342857142857143,1.4566871165644204,NaN,-12.696471165644175,0.14,-16.3,0.4,3.82,5.05,-25.14,-24.61,NaN,NaN,2.5,10.0,75.96976,-144.23016,1008.2,157.0,207.5,0.0,0.0,-16.3
309.375,1998-11-05T09:00:00.0,0.5635200089425443,3.2666666666666675,3.2666666666666675,2.127567567567568,NaN,-8.777772972972972,0.12,-14.8,0.3,3.61,5.08,-25.06,-24.24,NaN,NaN,2.5,10.0,75.9696,-144.24296,1007.7,160.0,208.7,0.0,0.0,-14.8
309.4167,1998-11-05T10:00:02.88,0.2099949823634281,1.7403508771929828,1.7403508771929828,0.9949090909090992,NaN,-22.07350909090909,0.19,-22.0,0.0,4.96,6.2,-23.6,-23.24,NaN,NaN,2.5,10.0,75.96893,-144.25622,1007.3,160.2,214.2,0.0,0.0,-22.0
309.4583,1998-11-05T10:59:57.12,0.15341133773149057,1.5272727272727282,1.5272727272727282,0.9895582329317311,NaN,-30.917686746987947,0.22,-24.9,0.0,5.14,6.4,-24.1,-23.75,NaN,NaN,2.5,10.0,75.96806,-144.26999,1007.2,159.3,212.6,0.0,0.0,-24.9
309.5,1998-11-05T12:00:00.0,0.1555073690227674,1.4476190476190474,1.4476190476190474,0.9469090909090868,NaN,-29.727809999999995,0.21,-22.0,0.0,5.36,6.5,-23.54,-23.23,NaN,NaN,2.5,10.0,75.96713,-144.28533,1006.8,161.9,214.9,0.0,0.0,-22.0
309.5417,1998-11-05T13:00:02.88,0.11961566007677132,1.3565217391304347,1.3565217391304347,0.8251121076233183,NaN,-37.237567264574,0.23,-22.3,NaN,5.35,6.52,-22.75,-22.5,NaN,NaN,2.5,10.0,75.96584,-144.30224,1006.5,186.3,220.2,0.0,0.0,-22.3
309.5833,1998-11-05T13:59:57.12,0.010577196094163027,0.6707070707070708,0.6707070707070708,-1.0738983050847228,NaN,-353.40080338983046,0.33,-5.9,0.0,7.1,7.93,-19.34,-19.4,NaN,NaN,2.5,10.0,75.96458,-144.32131,1006.1,228.5,235.1,0.0,0.0,-5.9
309.625,1998-11-05T15:00:00.0,0.004483025681316513,0.6780952380952385,0.6780952380952385,-2.2399999999999523,NaN,-768.7487499999996,0.35,-3.0,0.1,8.12,9.01,-17.93,-17.99,NaN,NaN,2.5,10.0,75.96317,-144.34219,1005.5,232.7,240.1,0.0,0.0,-3.0
310.875,1998-11-06T21:00:00.0,0.10336518774273364,1.3333333333333335,1.3333333333333335,0.1745454545454663,NaN,-28.33159090909091,0.15,-5.5,0.2,5.32,6.07,-15.39,-15.37,NaN,NaN,2.5,10.0,76.00698,-144.99414,1008.1,229.1,246.9,2.5,2.3,-5.5
312.1667,1998-11-08T04:00:02.88,6.15200980198411,2.826666666666668,2.826666666666668,1.183193277310923,NaN,-0.6485294117647059,0.05,-11.9,0.1,3.79,4.32,-20.58,-19.7,NaN,NaN,2.5,10.0,76.04079,-145.24889,1017.4,181.9,221.3,0.0,0.0,-11.9
312.75,1998-11-08T18:00:00.0,0.06759812093170943,1.1111111111111112,1.1111111111111112,0.1828571428571552,NaN,-32.99245714285714,0.18,-6.3,0.2,4.72,5.47,-11.88,-11.86,NaN,NaN,2.5,10.0,76.07284,-145.29289,1014.5,248.5,260.9,0.0,0.0,-6.3
312.7917,1998-11-08T19:00:02.88,0.023451843635250914,0.8399999999999999,0.8399999999999999,-0.853333333333353,NaN,-93.52,0.2,-3.0,0.2,4.92,5.55,-11.69,-11.73,NaN,NaN,2.5,10.0,76.07589,-145.29617,1014.1,259.0,263.1,0.0,0.0,-3.0
312.9167,1998-11-08T22:00:02.88,0.8323823091873975,1.5407407407407405,1.5407407407407405,0.6531958762886617,NaN,-2.683020618556701,0.09,-9.7,0.2,3.82,4.34,-11.9,-11.68,NaN,NaN,2.5,10.0,76.08578,-145.30312,1013.4,225.5,255.2,0.0,0.0,-9.7
313.1667,1998-11-09T04:00:02.88,0.2716124035877907,0.633333333333334,0.633333333333334,8.494545454545438,NaN,-10.374981818181817,0.08,-2.2,0.1,1.43,1.62,-14.86,-14.13,NaN,NaN,2.5,10.0,NaN,NaN,1012.7,231.8,245.9,0.0,0.0,-2.2
313.4583,1998-11-09T10:59:57.12,1.3879074885539682,1.1199999999999997,1.1199999999999997,4.681481481481476,NaN,-2.6513888888888895,0.05,-2.7,-0.2,1.6,1.81,-19.09,-18.3,NaN,NaN,2.5,10.0,76.09718,-145.29068,1011.9,208.7,231.2,0.0,0.0,-2.7
313.5417,1998-11-09T13:00:02.88,0.3364951826061892,0.6060606060606061,0.6060606060606061,1.5085714285714322,NaN,-10.130811428571427,0.11,-7.0,NaN,2.19,2.44,-17.76,-17.46,NaN,NaN,2.5,10.0,76.09664,-145.29732,1010.7,213.4,237.2,0.0,0.0,-7.0
313.6667,1998-11-09T16:00:02.88,0.08985188738901143,0.8313725490196074,0.8313725490196074,1.1037681159420334,NaN,-37.723295652173924,0.17,-6.9,NaN,3.97,4.5,-17.66,-17.52,NaN,NaN,2.5,10.0,76.09504,-145.32538,1008.7,205.4,237.1,0.0,0.0,-6.9
313.9167,1998-11-09T22:00:02.88,0.0031242345812206684,0.6740740740740742,0.6740740740740742,-2.5043478260869034,NaN,-921.3545739130435,0.36,-2.3,0.1,9.16,10.07,-15.14,-15.19,NaN,NaN,2.5,10.0,76.09804,-145.46072,1003.8,237.6,249.8,0.0,0.0,-2.3
314.4167,1998-11-10T10:00:02.88,0.002065747495848362,0.6909090909090914,0.6909090909090914,-3.0171428571427934,NaN,-1182.8406857142857,0.44,-2.8,-1.2,10.49,11.63,-12.96,-13.02,NaN,NaN,2.5,10.0,76.10882,-145.80284,997.2,244.4,257.4,0.0,0.0,-2.8
314.5,1998-11-10T12:00:00.0,0.005837553249336909,0.8195121951219512,0.8195121951219512,-1.0250000000000146,NaN,-421.2796124999998,0.41,-6.4,-0.5,9.4,10.66,-13.04,-13.09,NaN,NaN,2.5,10.0,76.11194,-145.84813,996.8,249.9,257.4,0.0,0.0,-6.4
